latitude,longitude
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3679,-71.0814
42.3679,-71.0814
42.3565,-71.1127
42.3921,-71.1569
42.3921,-71.1569
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3902,-71.1206
42.3876,-71.1273
42.3876,-71.1273
42.3839,-71.1326
42.3839,-71.1326
42.3934,-71.154
42.3934,-71.154
42.3786,-71.1524
42.3786,-71.1524
42.3938,-71.1536
42.3938,-71.1536
42.3938,-71.1536
42.3938,-71.1536
42.3938,-71.1536
42.3938,-71.1536
42.3938,-71.1536
42.3841,-71.1349
42.3718,-71.1004
42.3809,-71.1149
42.3703,-71.1082
42.3703,-71.1082
42.3609,-71.1045
42.3609,-71.1045
42.3609,-71.1045
42.3609,-71.1045
42.3609,-71.1045
42.3609,-71.1045
42.363,-71.1043
42.363,-71.1043
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3734,-71.0819
42.3632,-71.1038
42.3632,-71.1038
42.361,-71.1049
42.361,-71.1049
42.3822,-71.1316
42.3822,-71.1316
42.3873,-71.1393
42.3873,-71.1393
42.3873,-71.1393
42.3873,-71.1393
42.3873,-71.1393
42.3942,-71.135
42.4002,-71.134
42.4002,-71.134
42.4002,-71.134
42.4002,-71.134
42.3735,-71.107
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3735,-71.0944
42.3666,-71.1109
42.3666,-71.1109
42.3941,-71.1355
42.3941,-71.1355
42.3863,-71.129
42.371,-71.0949
42.371,-71.0949
42.371,-71.0949
42.371,-71.0949
42.371,-71.0949
42.3839,-71.1338
42.3839,-71.1338
42.3839,-71.1338
42.3702,-71.0971
42.3702,-71.0971
42.3683,-71.098
42.3683,-71.098
42.3683,-71.098
42.3972,-71.1326
42.3972,-71.1326
42.3971,-71.1327
42.3971,-71.1327
42.3851,-71.1286
42.3851,-71.1286
42.3636,-71.1049
42.3636,-71.1049
42.3631,-71.103
42.3631,-71.103
42.3631,-71.103
42.3631,-71.103
42.3631,-71.103
42.3842,-71.1159
42.3878,-71.1276
42.3878,-71.1276
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3861,-71.1361
42.3861,-71.1361
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3904,-71.1322
42.3779,-71.1553
42.3779,-71.1553
42.3756,-71.1414
42.3756,-71.1414
42.3756,-71.1414
42.3756,-71.1414
42.3756,-71.1414
42.3756,-71.1414
42.3756,-71.1414
42.3679,-71.0814
42.3679,-71.0814
42.3607,-71.1035
42.3607,-71.1035
42.3607,-71.1035
42.3607,-71.1035
42.3607,-71.1035
42.3607,-71.1035
42.3607,-71.1035
42.3607,-71.1035
42.3805,-71.1333
42.3607,-71.1035
42.3607,-71.1035
42.3607,-71.1035
42.3808,-71.1269
42.3808,-71.1269
42.3808,-71.1269
42.3996,-71.1344
42.3996,-71.1344
42.3953,-71.1367
42.3953,-71.1367
42.3605,-71.108
42.3605,-71.108
42.3605,-71.108
42.3605,-71.108
42.3673,-71.1121
42.3673,-71.1121
42.3977,-71.1346
42.3977,-71.1346
42.3977,-71.1346
42.3975,-71.134
42.3975,-71.134
42.3975,-71.134
42.3975,-71.134
42.3974,-71.1336
42.3974,-71.1336
42.3974,-71.1336
42.3985,-71.1357
42.3985,-71.1357
42.3889,-71.1182
42.3889,-71.1182
42.3889,-71.1182
42.3889,-71.1182
42.3889,-71.1182
42.3889,-71.1182
42.3889,-71.1182
42.3889,-71.1182
42.3984,-71.1354
42.3984,-71.1354
42.3984,-71.1352
42.3984,-71.1352
42.3614,-71.1104
42.3614,-71.1104
42.3848,-71.1185
42.3617,-71.1127
42.3631,-71.1034
42.3631,-71.1034
42.3636,-71.1049
42.3895,-71.1337
42.3895,-71.1337
42.3631,-71.1034
42.3586,-71.1092
42.3586,-71.1092
42.3701,-71.1146
42.3701,-71.1146
42.3891,-71.1286
42.3891,-71.1286
42.3891,-71.1286
42.3891,-71.1286
42.3891,-71.1286
42.3891,-71.1286
42.3891,-71.1286
42.3891,-71.1286
